roll,pitch,yaw,x,y,z
-1.7236,-0.260423,-1.54159,-1.58431,-1.68226,0.169384
-1.65588,-0.229324,-1.6806,-1.77331,-1.21113,-0.108651
-1.66156,-0.129823,-1.6684,-1.74918,-1.2303,-0.253532
-1.72439,-0.149518,-1.63361,-1.72309,-1.31115,0.00577343
-1.72235,-0.135738,-1.61209,-1.6749,-1.3724,-0.0184771
-1.66235,-0.281858,-1.62556,-1.83842,-1.47521,0.0657208
-1.6477,-0.157878,-1.69631,-1.80599,-1.14189,-0.264105
-1.70159,-0.206224,-1.60567,-1.80621,-1.47538,0.0571042
1.26307,-1.89879,-1.35995,5.81537,1.3372,1.90952
-1.63801,-0.316902,-1.61581,-1.8038,-1.54196,0.0458886
