roll,pitch,yaw,x,y,z
-1.81878,-0.066348,-1.8737,-2.63187,-0.367295,0.234632
-1.81646,-0.024164,-1.86033,-2.61955,-0.416902,0.128247
-1.76823,-0.117635,-1.76858,-2.95285,-1.19141,0.125951
-1.80331,-0.0549146,-1.82127,-2.82944,-0.758108,0.133679
-1.56993,-0.591884,-1.48524,-2.00438,-2.8515,0.329669
-1.44645,-0.485094,-1.65255,-2.25169,-2.42954,-0.710229
-1.93837,-0.142103,-1.99159,-3.04945,0.261943,1.07892
-1.59492,-0.408864,-1.52721,-2.14977,-2.35615,-0.11564
-1.15456,-0.743756,3.09468,-1.14879,3.63801,-0.355237
-1.57737,-0.301425,-1.57444,-2.18425,-2.25125,-0.392987
1.90406,-1.78841,-1.91599,7.18992,1.32058,1.60964
-1.56512,-0.328059,-1.62611,-2.37685,-2.00916,-0.537686
-1.80403,-0.0585387,-1.82142,-2.50786,-0.61342,0.13404
-1.56066,-0.282344,-1.57259,-2.42002,-2.59943,-0.473442
-1.64038,-0.348521,-1.4845,-2.2659,-2.79698,0.0590094
-1.57821,-0.805458,-1.66281,-2.4685,-1.87265,1.15367
-1.66846,-0.24764,-1.64476,-2.39103,-1.65081,-0.155681
-1.68029,-0.239687,-1.58501,-2.46543,-2.10672,-0.0591717
-1.81032,-0.00621089,-1.80275,-2.49024,-0.644694,0.0428096
-1.84285,0.0414807,-1.73264,-2.61051,-1.13767,0.109404
-1.5124,-0.333507,-1.60165,-2.10814,-2.37512,-0.618398
2.16387,-1.83288,-2.06568,6.84869,2.01405,1.18763
-1.57153,-0.454441,-1.51417,-1.95499,-2.63243,0.057067
-1.63972,-0.555149,-1.79385,-2.24648,-0.994955,0.735339
-1.8684,-0.072712,-1.98204,-3.37022,0.118241,0.573375
-1.53382,-0.697807,-1.66031,-2.17109,-2.25544,0.422664
-1.72204,-0.092889,-1.66894,-2.66993,-1.75623,-0.153255
-1.35331,-0.683122,3.29764,-1.51536,3.89721,0.0569182
-1.38036,-0.0171782,-1.82641,-1.8981,-0.879098,-1.8004
-1.7626,-0.114869,-1.93328,-3.04247,-0.303548,0.0627487
-1.64097,-0.425666,-1.54534,-1.96208,-2.19002,0.214958
-1.54491,-0.440913,-1.66753,-2.15905,-1.96798,-0.300836
-1.6518,-0.218306,-1.59883,-2.47173,-2.06479,-0.267501
-1.5987,-0.291345,-1.56755,-2.05536,-2.11642,-0.342003
-1.61216,-0.375027,-1.51606,-2.58287,-3.15539,-0.131655
-1.71904,-0.193205,-1.8389,-2.79398,-0.749635,-0.0630014
-1.76296,-0.0748153,-1.67747,-2.58261,-1.55786,0.0343956
-1.645,-0.296649,-1.58798,-2.97492,-2.62851,-0.159258
-1.29552,-0.81911,-2.04309,-3.19976,-1.36515,0.454796
-1.71611,-0.135972,-1.85784,-2.75423,-0.612761,-0.220425
1.11335,-1.9903,-1.21258,8.04546,2.04332,2.83714
-1.5299,-0.323269,-1.60724,-2.13184,-2.1701,-0.621738
-1.60817,-0.874469,-1.51727,-1.85279,-2.4662,1.212
-1.43503,-0.862008,-1.72047,-2.29152,-2.37849,0.697876
-1.68753,-0.277955,-1.60101,-2.76612,-2.28947,-0.0211739
1.71708,-1.74222,-1.68581,6.69665,1.51266,1.85702
-1.65016,-0.226802,-1.54954,-2.19124,-2.29018,-0.206414
-1.65451,-0.88769,-1.49843,-2.32861,-3.17827,1.30354
-1.54717,-0.567183,-1.83533,-2.11937,-1.09827,0.521649
-1.54912,-0.763815,-1.66066,-2.73655,-2.69984,0.573269
