-2254.38,-1389.9,5219.19
0.51592,-0.470123,-0.716108
-2420.16,-857.86,4750.47
-2876.61,-1552.65,4877.74
-2088.6,-1921.94,5687.91
-1632.14,-1227.15,5560.63
2548.91,24.4385,159.027
-0.689338,-0.312892,0.653385
2654.69,-651.061,-52.8487
3061.28,-273.174,557.075
2451.74,700.418,380.222
2027.92,321.571,-248.341
89.2703,88.8453,0
90.0383,89.6133,0
824.694,847.491,0
1162.2,1173.49,0
2.55398,0,0
0.00289787,0,0
1,0,0
-2654.88,-1408.53,4630.96
0.621818,-0.233898,-0.747418
-3176.21,-1250.48,4147.77
-3046.47,-2006.6,4492.33
-2133.54,-1566.59,5114.15
-2263.28,-810.466,4769.59
2389.58,614.736,314.365
-0.759195,-0.50458,0.411122
2801.61,49.6545,381.692
2439.51,1014.3,896.961
1965.62,1186.55,233.271
2351.58,208.441,-254.462
90.2518,88.8357,0
88.3579,90.7296,0
795.254,833.504,0
1152.02,1159.12,0
2.48733,0,0
0.00182258,0,0
2,0,0
-1392.05,-2041.39,6134.44
-0.0924017,-0.209708,-0.973388
-2116.3,-2060.95,6207.41
-1600.89,-2718.99,6300.25
-667.796,-2021.82,6061.47
-1183.21,-1363.78,5968.63
3666.29,-1367.11,676.785
-0.865334,0.488278,-0.113057
3355.6,-1941.32,574.84
3666.42,-1206.4,1369.82
3980.49,-782.138,798.321
3662.64,-1538.56,-35.8397
87.0623,83.371,0
86.4748,83.9584,0
777.977,793.358,0
1126.36,1170.05,0
3.97098,0,0
0.00273695,0,0
3,0,0
-2144.75,-1941.21,6765.68
-0.0455151,-0.0883491,-0.995049
-2528.16,-1323.27,6728.35
-2855.33,-2093.53,6811.7
-1761.33,-2559.15,6803
-1434.16,-1788.9,6719.65
3744.03,-780.468,363.785
-0.980828,0.137658,-0.137935
3672.06,-1438.27,219.081
3609.71,-1141.03,959.08
3812.85,-95.8248,557.671
3881.5,-446.75,-280.691
90.061,85.2423,0
90.9014,84.4018,0
799.899,911.434,0
1129.93,1137.91,0
3.84177,0,0
0.00293298,0,0
4,0,0
-2336.91,-2029.98,6498.72
0.125574,-0.403625,-0.906266
-2991.75,-1782.78,6297.89
-2842.7,-2530.99,6651.78
-1682.08,-2277.19,6699.56
-1831.13,-1528.98,6345.67
3364.28,-425.6,495.46
-0.847822,0.0755195,0.524875
3404.53,-1111.85,659.217
3708.1,-52.7354,997.179
3331.54,230.569,348.155
3012.96,-768.378,-22.7111
92.0836,92.074,0
94.9946,89.163,0
802.056,858.099,0
1112.17,1152.43,0
3.4271,0,0
0.00268866,0,0
5,0,0
-2458.02,-1725.88,5698.93
-0.0448268,0.00659332,-0.998973
-2789.98,-1078.05,5718.1
-3178.91,-1823.61,5730.64
-2126.05,-2373.71,5679.76
-1737.12,-1628.15,5667.23
3102.74,23.5953,401.525
-0.990321,0.0713446,-0.119053
3061.58,-678.105,323.442
3003.13,-295.011,1039.21
3140.03,724.06,511.146
3206.24,343.437,-267.696
90.2699,85.4973,0
88.1491,87.6181,0
813.939,869.399,0
